POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
64,JacquesKallis,98,96,11,2427,89*,28.55,"2,222",109.22,0,17,255,44
65,AxarPatel,109,78,23,953,44,17.32,761,125.22,0,0,55,44
66,BradHodge,66,63,21,1400,73,33.33,"1,118",125.22,0,6,122,43
67,MoeenAli,34,32,3,666,66,22.96,455,146.37,0,4,52,42
68,SouravGanguly,59,56,3,1349,91,25.45,"1,263",106.80,0,7,137,42
69,HarbhajanSingh,163,90,37,833,64,15.71,604,137.91,0,1,79,42
70,AndrewSymonds,39,36,9,974,117*,36.07,750,129.86,1,5,74,41
71,MananVohra,53,49,2,1054,95,22.42,807,130.60,0,3,102,41
72,KevinPietersen,36,36,9,1001,103*,37.07,743,134.72,1,4,91,40
73,KedarJadhav,93,80,26,1196,69,22.14,971,123.17,0,4,101,40
74,ManojTiwary,98,85,26,1695,75*,28.72,"1,449",116.97,0,7,156,40
75,SanathJayasuriya,30,30,2,772,114*,27.57,532,145.11,1,4,85,39
76,KarunNair,73,66,5,1480,83*,24.26,"1,153",128.36,0,10,160,39
77,MahelaJayawardena,80,78,15,1802,110*,28.60,"1,462",123.25,1,10,200,39
78,DeepakHooda,80,61,14,785,64,16.70,606,129.53,0,3,41,38
79,VenugopalRao,65,54,10,985,71*,22.38,836,117.82,0,3,77,37
80,IrfanPathan,103,82,29,1139,60,21.49,946,120.40,0,1,87,37
81,MandeepSingh,105,92,16,1674,77*,22.02,"1,349",124.09,0,6,172,37
82,CameronWhite,47,45,9,954,78,26.50,755,126.35,0,6,76,36
83,ShubmanGill,58,55,10,1417,76,31.48,"1,152",123.00,0,10,137,36
84,MarcusStoinis,56,49,16,914,65,27.69,673,135.80,0,4,76,35
85,ChrisMorris,81,51,23,618,82*,22.07,398,155.27,0,2,41,35
86,StuartBinny,95,68,23,880,48*,19.55,683,128.84,0,0,66,35
87,EvinLewis,21,21,0,581,65,27.66,421,138.00,0,3,54,33
88,BenStokes,43,42,6,920,107*,25.55,684,134.50,2,2,79,32
89,CoreyAnderson,30,29,7,538,95*,24.45,423,127.18,0,3,40,31
90,ShimronHetmyer,31,29,9,517,75,25.85,342,151.16,0,2,34,31
91,HerschelleGibbs,36,36,4,886,69*,27.68,807,109.78,0,6,83,31
92,RuturajGaikwad,22,22,4,839,101*,46.61,635,132.12,1,7,80,29
93,AngeloMathews,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
94,SachinTendulkar,78,78,11,2334,100*,34.83,"1,948",119.81,1,13,295,29
95,VijayShankar,47,39,12,712,63*,26.37,564,126.24,0,3,45,28
96,MoisesHenriques,62,54,18,1000,74*,27.77,788,126.90,0,5,87,28
97,RahulDravid,89,82,5,2174,75*,28.23,"1,882",115.51,0,11,269,28
98,SubramaniamBadrinath,95,67,20,1441,71*,30.65,"1,212",118.89,0,11,154,28
99,KumarSangakkara,71,68,3,1687,94,25.95,"1,392",121.19,0,10,195,27
100,ThisaraPerera,37,30,8,422,40,19.18,307,137.45,0,0,23,26
